epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,4.337747641352238,4.130374570465088,7.64,24.72,1e-05
1,4.157714290011399,3.8434596794128417,12.34,33.9,2.8000000000000003e-05
2,3.971194097800491,3.5579906925201414,17.64,42.1,4.6e-05
3,3.7974659275598786,3.3318109714508055,19.92,47.32,6.4e-05
4,3.6298082887342895,3.07913900718689,25.76,54.32,8.2e-05
5,3.4387728232585264,2.871706695175171,29.26,59.72,5e-05
6,3.3269849725150484,2.7829856998443603,31.38,62.04,3.4549150281252636e-05
7,3.250608050787051,2.698234580230713,33.36,64.14,2.061073738537635e-05
8,3.2045609637627828,2.655261812210083,34.04,65.24,9.549150281252633e-06
9,3.1724961705588717,2.638538179016113,34.32,65.36,2.4471741852423237e-06
