Training with a single process on 1 device (cuda:0).
WARNING: No pretrained configuration specified for MONet_T_12 model. Using a default. Please add a config to the model pretrained_cfg registry or pass explicitly.
Model MONet_T_12 created, param count:13157026
Data processing configuration for current model + dataset:
	input_size: (3, 32, 32)
	interpolation: bicubic
	mean: (0.485, 0.456, 0.406)
	std: (0.229, 0.224, 0.225)
	crop_pct: 0.875
	crop_mode: center
AMP not enabled. Training in float32.
/home/sharipov/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:558: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
Scheduled epochs: 300. LR stepped per epoch.
Train: 0 [   0/20000 (  0%)]  Loss: 2.30 (2.30)  Time: 7.425s,    0.27/s  (7.425s,    0.27/s)  LR: 1.000e-05  Data: 1.228 (1.228)
Train: 0 [  50/20000 (  0%)]  Loss: 2.32 (2.30)  Time: 0.048s,   41.97/s  (0.191s,   10.46/s)  LR: 1.000e-05  Data: 0.002 (0.026)
Train: 0 [ 100/20000 (  1%)]  Loss: 2.31 (2.30)  Time: 0.046s,   43.76/s  (0.120s,   16.72/s)  LR: 1.000e-05  Data: 0.002 (0.014)
Train: 0 [ 150/20000 (  1%)]  Loss: 2.14 (2.29)  Time: 0.046s,   43.79/s  (0.095s,   20.95/s)  LR: 1.000e-05  Data: 0.002 (0.010)
Train: 0 [ 200/20000 (  1%)]  Loss: 2.29 (2.29)  Time: 0.046s,   43.48/s  (0.083s,   24.04/s)  LR: 1.000e-05  Data: 0.002 (0.008)
Train: 0 [ 250/20000 (  1%)]  Loss: 2.29 (2.28)  Time: 0.047s,   42.98/s  (0.076s,   26.37/s)  LR: 1.000e-05  Data: 0.002 (0.007)
Train: 0 [ 300/20000 (  2%)]  Loss: 2.21 (2.28)  Time: 0.046s,   43.66/s  (0.071s,   28.22/s)  LR: 1.000e-05  Data: 0.002 (0.006)
Train: 0 [ 350/20000 (  2%)]  Loss: 2.29 (2.28)  Time: 0.047s,   42.38/s  (0.067s,   29.68/s)  LR: 1.000e-05  Data: 0.002 (0.006)
Train: 0 [ 400/20000 (  2%)]  Loss: 2.31 (2.27)  Time: 0.046s,   43.56/s  (0.065s,   30.91/s)  LR: 1.000e-05  Data: 0.002 (0.005)
Train: 0 [ 450/20000 (  2%)]  Loss: 2.27 (2.26)  Time: 0.046s,   43.80/s  (0.063s,   31.94/s)  LR: 1.000e-05  Data: 0.002 (0.005)
Train: 0 [ 500/20000 (  3%)]  Loss: 2.19 (2.26)  Time: 0.047s,   42.30/s  (0.061s,   32.80/s)  LR: 1.000e-05  Data: 0.002 (0.005)
Train: 0 [ 550/20000 (  3%)]  Loss: 2.31 (2.25)  Time: 0.047s,   42.82/s  (0.060s,   33.53/s)  LR: 1.000e-05  Data: 0.002 (0.004)
Train: 0 [ 600/20000 (  3%)]  Loss: 1.57 (2.25)  Time: 0.048s,   41.73/s  (0.059s,   34.15/s)  LR: 1.000e-05  Data: 0.002 (0.004)
Train: 0 [ 650/20000 (  3%)]  Loss: 2.91 (2.24)  Time: 0.046s,   43.67/s  (0.058s,   34.57/s)  LR: 1.000e-05  Data: 0.002 (0.004)
Train: 0 [ 700/20000 (  4%)]  Loss: 2.06 (2.24)  Time: 0.046s,   43.48/s  (0.057s,   35.08/s)  LR: 1.000e-05  Data: 0.002 (0.004)
Train: 0 [ 750/20000 (  4%)]  Loss: 1.92 (2.24)  Time: 0.046s,   43.69/s  (0.056s,   35.55/s)  LR: 1.000e-05  Data: 0.002 (0.004)
Train: 0 [ 800/20000 (  4%)]  Loss: 2.51 (2.23)  Time: 0.046s,   43.02/s  (0.056s,   35.96/s)  LR: 1.000e-05  Data: 0.002 (0.004)
Train: 0 [ 850/20000 (  4%)]  Loss: 1.91 (2.23)  Time: 0.046s,   43.78/s  (0.055s,   36.33/s)  LR: 1.000e-05  Data: 0.002 (0.004)
Train: 0 [ 900/20000 (  5%)]  Loss: 2.04 (2.23)  Time: 0.046s,   43.56/s  (0.055s,   36.66/s)  LR: 1.000e-05  Data: 0.002 (0.004)
Train: 0 [ 950/20000 (  5%)]  Loss: 2.59 (2.23)  Time: 0.048s,   41.74/s  (0.054s,   36.96/s)  LR: 1.000e-05  Data: 0.002 (0.003)
